Query,Model,Chunk_1,Chunk_2,Chunk_3,Chunk_4,Chunk_5
Where can I book honeymoon suites with Jacuzzis?,rerank-v3.5,[Agave](/en/hotels-and-villas/villa-hortensia/rooms-and-suites/agave/)[Hortensia Master Suite](/en/hotels-and-villas/villa-hortensia/rooms-and-suites/hortensia-master-suite/)[Viola](/en/hotels-and-villas/villa-hortensia/rooms-and-suites/viola/)[Iris](/en/hotels-and-villas/villa-hortensia/rooms-and-suites/iris/)[Opuntia Master,Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/) [Boutique Hotel Alhambra](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/) Ultra Luxury Collection [Villa Hortensia](/en/hotels-and-villas/villa-hortensia/) [Villa Mirasol](/en/hotels-and-villas/villa-mirasol/) [Captain's Villa Rouge](/en/hotels-and-villas/villa-rouge/),Classic Collection [Hotel Aurora](/en/hotels-and-villas/hotel-aurora/) [Family Hotel Vespera](/en/hotels-and-villas/hotel-vespera/) [Vitality Hotel Punta](/en/hotels-and-villas/hotel-punta/) [Apartments Punta](/en/hotels-and-villas/apartments-punta/) [Diana B&B](/en/hotels-and-villas/diana-bed-and-breakfast/) [Kredo B&B](/en/hotels-and-villas/kredo-bed-and-breakfast/),More information Less information [](https://iprefer.com/members/signup?enrollcode=LSZHB&hotel=LSZHB) [](https://www.preferredhotels.com/iprefer/enroll?enrollcode=LSZHB&hotel=LSZHB) [](https://www.losinj-hotels.com/en/dining/michelin-tour/) [](https://www.losinj-hotels.com/en/news/losinj-hotels-and-villas-celebrates-double-win-at-2025-world-spa-awards/),Master Bedroom](/en/hotels-and-villas/villa-hortensia/rooms-and-suites/opuntia-master-bedroom/)[Yucca](/en/hotels-and-villas/villa-hortensia/rooms-and-suites/yucca/)[Phoenix](/en/hotels-and-villas/villa-hortensia/rooms-and-suites/phoenix/)[Myrtus Master
Where can I book honeymoon suites with Jacuzzis?,rerank-v4.0-pro,Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/) [Boutique Hotel Alhambra](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/) Ultra Luxury Collection [Villa Hortensia](/en/hotels-and-villas/villa-hortensia/) [Villa Mirasol](/en/hotels-and-villas/villa-mirasol/) [Captain's Villa Rouge](/en/hotels-and-villas/villa-rouge/),Your fairytale wedding on Lošinj Experience special moments embraced by dreamy Lošinj’s nature. Surprise your guests with a wedding set in nature – next to the crystal clear blue sea or under the shade of centennial pine trees.[read more](/en/hotels-and-villas/hotel-bellevue/weddings/) Hotel Bellevue joins Preferred Hotels & Resorts,[View all](/en/hotels-and-villas/hotel-bellevue/rooms-and-suites/) [Offers](/en/hotels-and-villas/hotel-bellevue/offers/) Show Submenu [New Year at Bellevue](/en/hotels-and-villas/hotel-bellevue/offers/new-year/)[Romantic Getaway](/en/hotels-and-villas/hotel-bellevue/offers/romantic-package/)[Early Booking](/en/hotels-and-villas/hotel-bellevue/offers/early-booking/),Master Bedroom](/en/hotels-and-villas/villa-hortensia/rooms-and-suites/myrtus-master-bedroom/)[Eucalyptus](/en/hotels-and-villas/villa-hortensia/rooms-and-suites/eucalyptus/)[Magnolia](/en/hotels-and-villas/villa-hortensia/rooms-and-suites/magnolia/),[Scroll to content](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/#) [Book Now](https://booking.losinj-hotels.com/premium/index.html?tot_camere=1&id_albergo=19753&dc=7369&id_gruppo=20161&dc_gruppo=5884&tot_camere=1&id_stile=14775&adulti1=2&lingua_int=eng) show information [+385 (0)51 260 700](tel:+385 (0)51 260 700) [alhambra@losinj-hotels.com](mailto:alhambra@losinj-hotels.com)
Where can I find affordable apartments in Croatia?,rerank-english-v3.0,[](https://www.visitlosinj.hr/) [](https://visit-kvarner.com/) [](https://www.croatia.hr/en-GB) [](https://www.croatia.hr/en-GB) [Agencies](/en/agencies/)[GDS Codes](/en/gds-codes/)[Meetings & Events](/en/meetings-and-conferences/)[Media Room & Brochures](/en/media-room/),"Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Apartments Punta In spacious apartments near Veli Lošinj, you will enjoy a dream vacation; awakening with the unforgettable sunrise behind the mountainous Velebit, the healing Lošinj air and the pleasant scents of the island's flora. [Discover](/en/hotels-and-villas/apartments-punta/) [Gallery](/en/hotels-and-villas/#gallery-170)","Hotels & Villas in Lošinj | Croatia, Kvarner » Lošinj Hotels & Villas, Croatia [](/) Show Menu close English[Deutsch](/de/hotels-und-villen/)[Italiano](/it/hotel-e-ville/)[Hrvatski](/hr/hoteli-i-vile/) [Newsletter](/newsletterform/render/en_US) [Hotels & Villas](/en/hotels-and-villas/) Show Submenu Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/)",[Family Hotel Vespera](/en/hotels-and-villas/hotel-vespera/) [Vitality Hotel Punta](/en/hotels-and-villas/hotel-punta/) [Apartments Punta](/en/hotels-and-villas/apartments-punta/) [Diana B&B](/en/hotels-and-villas/diana-bed-and-breakfast/) [Kredo B&B](/en/hotels-and-villas/kredo-bed-and-breakfast/) [View all](/en/hotels-and-villas/) [All Offers](/en/all-offers/) Show Submenu,"Captain's Villa Rouge, Mali Lošinj » Lošinj Hotels & Villas, Croatia close [](/) English[Deutsch](/de/willkommen-auf-losinj/)[Italiano](/it/benvenuti-a-lussino/)[Hrvatski](/hr/dobrodosli-na-losinj/) [Newsletter](/newsletterform/render/en_US) close [](/) LH&V-PORTAL [Hotels & Villas](/en/hotels-and-villas/) Show Submenu Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/)"
Where can I find affordable apartments in Croatia?,rerank-multilingual-v3.0,"Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Apartments Punta In spacious apartments near Veli Lošinj, you will enjoy a dream vacation; awakening with the unforgettable sunrise behind the mountainous Velebit, the healing Lošinj air and the pleasant scents of the island's flora. [Discover](/en/hotels-and-villas/apartments-punta/) [Gallery](/en/hotels-and-villas/#gallery-170)",[Family Hotel Vespera](/en/hotels-and-villas/hotel-vespera/) [Vitality Hotel Punta](/en/hotels-and-villas/hotel-punta/) [Apartments Punta](/en/hotels-and-villas/apartments-punta/) [Diana B&B](/en/hotels-and-villas/diana-bed-and-breakfast/) [Kredo B&B](/en/hotels-and-villas/kredo-bed-and-breakfast/) [View all](/en/hotels-and-villas/) [All Offers](/en/all-offers/) Show Submenu,[](https://www.visitlosinj.hr/) [](https://visit-kvarner.com/) [](https://www.croatia.hr/en-GB) [](https://www.croatia.hr/en-GB) [Agencies](/en/agencies/)[GDS Codes](/en/gds-codes/)[Meetings & Events](/en/meetings-and-conferences/)[Media Room & Brochures](/en/media-room/),[alhambra@losinj-hotels.com](mailto:alhambra@losinj-hotels.com) show information Čikat 1651550 Mali LošinjCroatia [Get directions](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/#map) [Best Rate Guarantee](/en/best-rate-guarantee/) & [Flexible cancellation policy](/en/terms-of-reservation/) [Send Enquiry](/en/enquiry-form/) Boutique Hotel Alhambra,"Hotels & Villas in Lošinj | Croatia, Kvarner » Lošinj Hotels & Villas, Croatia [](/) Show Menu close English[Deutsch](/de/hotels-und-villen/)[Italiano](/it/hotel-e-ville/)[Hrvatski](/hr/hoteli-i-vile/) [Newsletter](/newsletterform/render/en_US) [Hotels & Villas](/en/hotels-and-villas/) Show Submenu Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/)"
Where can I find affordable apartments in Croatia?,rerank-v3.5,"Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Apartments Punta In spacious apartments near Veli Lošinj, you will enjoy a dream vacation; awakening with the unforgettable sunrise behind the mountainous Velebit, the healing Lošinj air and the pleasant scents of the island's flora. [Discover](/en/hotels-and-villas/apartments-punta/) [Gallery](/en/hotels-and-villas/#gallery-170)",[](https://www.visitlosinj.hr/) [](https://visit-kvarner.com/) [](https://www.croatia.hr/en-GB) [](https://www.croatia.hr/en-GB) [Agencies](/en/agencies/)[GDS Codes](/en/gds-codes/)[Meetings & Events](/en/meetings-and-conferences/)[Media Room & Brochures](/en/media-room/),"Captain's Villa Rouge, Mali Lošinj » Lošinj Hotels & Villas, Croatia close [](/) English[Deutsch](/de/willkommen-auf-losinj/)[Italiano](/it/benvenuti-a-lussino/)[Hrvatski](/hr/dobrodosli-na-losinj/) [Newsletter](/newsletterform/render/en_US) close [](/) LH&V-PORTAL [Hotels & Villas](/en/hotels-and-villas/) Show Submenu Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/)","Hotels & Villas in Lošinj | Croatia, Kvarner » Lošinj Hotels & Villas, Croatia [](/) Show Menu close English[Deutsch](/de/hotels-und-villen/)[Italiano](/it/hotel-e-ville/)[Hrvatski](/hr/hoteli-i-vile/) [Newsletter](/newsletterform/render/en_US) [Hotels & Villas](/en/hotels-and-villas/) Show Submenu Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/)",[alhambra@losinj-hotels.com](mailto:alhambra@losinj-hotels.com) show information Čikat 1651550 Mali LošinjCroatia [Get directions](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/#map) [Best Rate Guarantee](/en/best-rate-guarantee/) & [Flexible cancellation policy](/en/terms-of-reservation/) [Send Enquiry](/en/enquiry-form/) Boutique Hotel Alhambra
Where can I find affordable apartments in Croatia?,rerank-v4.0-pro,"Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Apartments Punta In spacious apartments near Veli Lošinj, you will enjoy a dream vacation; awakening with the unforgettable sunrise behind the mountainous Velebit, the healing Lošinj air and the pleasant scents of the island's flora. [Discover](/en/hotels-and-villas/apartments-punta/) [Gallery](/en/hotels-and-villas/#gallery-170)",[alhambra@losinj-hotels.com](mailto:alhambra@losinj-hotels.com) show information Čikat 1651550 Mali LošinjCroatia [Get directions](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/#map) [Best Rate Guarantee](/en/best-rate-guarantee/) & [Flexible cancellation policy](/en/terms-of-reservation/) [Send Enquiry](/en/enquiry-form/) Boutique Hotel Alhambra,[](https://www.visitlosinj.hr/) [](https://visit-kvarner.com/) [](https://www.croatia.hr/en-GB) [](https://www.croatia.hr/en-GB) [Agencies](/en/agencies/)[GDS Codes](/en/gds-codes/)[Meetings & Events](/en/meetings-and-conferences/)[Media Room & Brochures](/en/media-room/),"Hotels & Villas in Lošinj | Croatia, Kvarner » Lošinj Hotels & Villas, Croatia [](/) Show Menu close English[Deutsch](/de/hotels-und-villen/)[Italiano](/it/hotel-e-ville/)[Hrvatski](/hr/hoteli-i-vile/) [Newsletter](/newsletterform/render/en_US) [Hotels & Villas](/en/hotels-and-villas/) Show Submenu Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/)","Captain's Villa Rouge, Mali Lošinj » Lošinj Hotels & Villas, Croatia close [](/) English[Deutsch](/de/willkommen-auf-losinj/)[Italiano](/it/benvenuti-a-lussino/)[Hrvatski](/hr/dobrodosli-na-losinj/) [Newsletter](/newsletterform/render/en_US) close [](/) LH&V-PORTAL [Hotels & Villas](/en/hotels-and-villas/) Show Submenu Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/)"
What budget accommodation is available in Kvarner?,rerank-english-v3.0,"Hotels & Villas in Lošinj | Croatia, Kvarner » Lošinj Hotels & Villas, Croatia [](/) Show Menu close English[Deutsch](/de/hotels-und-villen/)[Italiano](/it/hotel-e-ville/)[Hrvatski](/hr/hoteli-i-vile/) [Newsletter](/newsletterform/render/en_US) [Hotels & Villas](/en/hotels-and-villas/) Show Submenu Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/)",[](https://www.visitlosinj.hr/) [](https://visit-kvarner.com/) [](https://www.croatia.hr/en-GB) [](https://www.croatia.hr/en-GB) [Agencies](/en/agencies/)[GDS Codes](/en/gds-codes/)[Meetings & Events](/en/meetings-and-conferences/)[Media Room & Brochures](/en/media-room/),". Take advantage of the private beach located directly in front of the villa so you can delight in the sea and the sun.The lavish rooms are designed as an integral area with a bathroom and a terrace overlooking the sea and the bay. For cozy gatherings, there are communal rooms such as a dining room with a terrace and a spacious living room with a bar","5 comfortable suites out of which 2 beautifully appointed kids' rooms, accommodating up to 10 guests expansive landscaped garden and outdoor living space spacious terraces with spectacular sea views private home cinema and wine cellar gated with 24-hour security video surveillance 24-hour chef and an International Butler Academy certified butler service on request",elegant and stylish interiors featuring impressive marble and wooden surfaces wine cellar Tavern featuring TV and suitable for conferences private spa with steam and sauna rooms and private gym exclusive home cinema an outdoor pool and jacuzzi terrace with sun beds and patio umbrellas outdoor dining and living area under the pergola overlooking Čikat Bay professional outdoor kitchen with barbecue
What budget accommodation is available in Kvarner?,rerank-multilingual-v3.0,". Take advantage of the private beach located directly in front of the villa so you can delight in the sea and the sun.The lavish rooms are designed as an integral area with a bathroom and a terrace overlooking the sea and the bay. For cozy gatherings, there are communal rooms such as a dining room with a terrace and a spacious living room with a bar","5 comfortable suites out of which 2 beautifully appointed kids' rooms, accommodating up to 10 guests expansive landscaped garden and outdoor living space spacious terraces with spectacular sea views private home cinema and wine cellar gated with 24-hour security video surveillance 24-hour chef and an International Butler Academy certified butler service on request","Hotels & Villas in Lošinj | Croatia, Kvarner » Lošinj Hotels & Villas, Croatia [](/) Show Menu close English[Deutsch](/de/hotels-und-villen/)[Italiano](/it/hotel-e-ville/)[Hrvatski](/hr/hoteli-i-vile/) [Newsletter](/newsletterform/render/en_US) [Hotels & Villas](/en/hotels-and-villas/) Show Submenu Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/)",". If you’re looking for additional entertainment, the villa also offers a private cinema hall, a pool table, a library and a wellness area with saunas. For moments of complete leisure, you can revel in spa treatments at the nearby boutique hotel Alhambra.Villa Mirasol is rented out as a separate facility and, whenever you’d like, is available with a private chef and butler",".You can find everything you need at our concièrge, from organised transfers and luxury car and boat rentals to tailor-made trips and personalised experiences. We even offer a wide range of services at the Alhambra Spa zone (a seawater pool, Finnish and Turkish saunas, fitness studio, yoga, massages and beauty treatments)"
What budget accommodation is available in Kvarner?,rerank-v3.5,"Hotels & Villas in Lošinj | Croatia, Kvarner » Lošinj Hotels & Villas, Croatia [](/) Show Menu close English[Deutsch](/de/hotels-und-villen/)[Italiano](/it/hotel-e-ville/)[Hrvatski](/hr/hoteli-i-vile/) [Newsletter](/newsletterform/render/en_US) [Hotels & Villas](/en/hotels-and-villas/) Show Submenu Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/)",[View all](/en/destination/) [Contact](/en/contact/) Hotels & Villas [Scroll to content](/en/hotels-and-villas/#) Book Now Book Now Arrival Departure Persons X Adults + 1 - Children + 1 - Child [CHILD_COUNT] Choose Age 0 Years 1 Years 2 Years 3 Years 4 Years 5 Years 6 Years 7 Years 8 Years 9 Years 10 Years 11 Years Accept Sepcial Code Find room [Best Rate Guarantee](/en/best-rate-guarantee/) &,[](https://www.visitlosinj.hr/) [](https://visit-kvarner.com/) [](https://www.croatia.hr/en-GB) [](https://www.croatia.hr/en-GB) [Agencies](/en/agencies/)[GDS Codes](/en/gds-codes/)[Meetings & Events](/en/meetings-and-conferences/)[Media Room & Brochures](/en/media-room/),". Take advantage of the private beach located directly in front of the villa so you can delight in the sea and the sun.The lavish rooms are designed as an integral area with a bathroom and a terrace overlooking the sea and the bay. For cozy gatherings, there are communal rooms such as a dining room with a terrace and a spacious living room with a bar",".Villa Mirasol features:5 suites on three floors plus an adjacent 3-bedroom apartment with a separate entrance, accommodating up to 16 guests"
What budget accommodation is available in Kvarner?,rerank-v4.0-pro,"Hotels & Villas in Lošinj | Croatia, Kvarner » Lošinj Hotels & Villas, Croatia [](/) Show Menu close English[Deutsch](/de/hotels-und-villen/)[Italiano](/it/hotel-e-ville/)[Hrvatski](/hr/hoteli-i-vile/) [Newsletter](/newsletterform/render/en_US) [Hotels & Villas](/en/hotels-and-villas/) Show Submenu Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/)",[](https://www.visitlosinj.hr/) [](https://visit-kvarner.com/) [](https://www.croatia.hr/en-GB) [](https://www.croatia.hr/en-GB) [Agencies](/en/agencies/)[GDS Codes](/en/gds-codes/)[Meetings & Events](/en/meetings-and-conferences/)[Media Room & Brochures](/en/media-room/),[View all](/en/destination/) [Contact](/en/contact/) Hotels & Villas [Scroll to content](/en/hotels-and-villas/#) Book Now Book Now Arrival Departure Persons X Adults + 1 - Children + 1 - Child [CHILD_COUNT] Choose Age 0 Years 1 Years 2 Years 3 Years 4 Years 5 Years 6 Years 7 Years 8 Years 9 Years 10 Years 11 Years Accept Sepcial Code Find room [Best Rate Guarantee](/en/best-rate-guarantee/) &,More information Less information [](https://www.losinj-hotels.com/en/pet-friendly-hotels/) Offers [New Year at Aurora Learn more](/en/hotels-and-villas/hotel-aurora/offers/new-year/) [Balance Retreat: Wellness & Culture Learn more](/en/hotels-and-villas/hotel-aurora/offers/package/) [Early Booking Learn more](/en/hotels-and-villas/hotel-aurora/offers/early-booking/),[Learn more](/en/news/solo-exhibition-by-josip-konta/) Offers [Early Booking Learn more](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/offers/early-booking/) [All Offers](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/offers/) [view more](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/offers/) Highlights Top 100 Spas of the World for 2024 by Luxury Lifestyle Awards
Which hotels have swimming pools?,rerank-english-v3.0,"Guests can choose to delight in two playgrounds or the Family Aqua Fun complex with outdoor pools on three cascading levels, all nearby the hotel. Every week, the hotel also organises a boat trip to the nearby Susak island. A sightseeing trip to Mali Lošinj by our hotel bus is another great way to spend a family-packed day",[Family](/en/hotels-and-villas/hotel-vespera/family/) Show Submenu [Pino Club](/en/hotels-and-villas/hotel-vespera/family/pino-club/)[Beach & Pools](/en/hotels-and-villas/hotel-vespera/family/beach-and-pools/)[Family amenities & Sport](/en/hotels-and-villas/hotel-vespera/family/family-amenities-and-sport/) [View all](/en/hotels-and-villas/hotel-vespera/family/),". You can choose to savour your meals in the air-conditioned dining hall or take a seat on the large terrace with captivating views of the bay.Alongside the hotel, you’ll find a fitness centre and Family Aqua Fun pool complex - the perfect place for your children to revel in laughter from sunrise to sunset.",indoor seawater pool Aura Botanical Spa spacious congress hall various sports facilities close proximity to beach excellent animation programs,"One of the secrets to the islander's longevity is the critical nap following lunch, after which you can enjoy the hotel's exterior or interior pools or the hotel beach to surrender your body to the healing effects of the sea"
Which hotels have swimming pools?,rerank-multilingual-v3.0,"Guests can choose to delight in two playgrounds or the Family Aqua Fun complex with outdoor pools on three cascading levels, all nearby the hotel. Every week, the hotel also organises a boat trip to the nearby Susak island. A sightseeing trip to Mali Lošinj by our hotel bus is another great way to spend a family-packed day","Enjoy Hotel Aurora’s unique Wellness Center Aura Botanical Spa. Here, you can choose between nine different ambience rooms or pamper yourself with relaxing body and facial treatments designed with locally-sourced and prepared essential oils.Our heated indoor and outdoor seawater pools and whirlpool baths complete the experience of total rejuvenation and relaxation",". You can choose to savour your meals in the air-conditioned dining hall or take a seat on the large terrace with captivating views of the bay.Alongside the hotel, you’ll find a fitness centre and Family Aqua Fun pool complex - the perfect place for your children to revel in laughter from sunrise to sunset.","One of the secrets to the islander's longevity is the critical nap following lunch, after which you can enjoy the hotel's exterior or interior pools or the hotel beach to surrender your body to the healing effects of the sea",Family Room Park Side Standard Sea Side Junior Suite Sea Side Pinos corner Vespera Kids Vespera playground Vespera playground Vespera playground Vespera playground Vespera playground Vespera playground Vespera Fitness Vespera Fitness Vespera Pool Vespera Pool Vespera Pool Vespera Pool Beach Vespera Beach Vespera Beach Borik [Gallery](/en/hotels-and-villas/hotel-vespera/#gallery)
Which hotels have swimming pools?,rerank-v3.5,"Enjoy Hotel Aurora’s unique Wellness Center Aura Botanical Spa. Here, you can choose between nine different ambience rooms or pamper yourself with relaxing body and facial treatments designed with locally-sourced and prepared essential oils.Our heated indoor and outdoor seawater pools and whirlpool baths complete the experience of total rejuvenation and relaxation","Guests can choose to delight in two playgrounds or the Family Aqua Fun complex with outdoor pools on three cascading levels, all nearby the hotel. Every week, the hotel also organises a boat trip to the nearby Susak island. A sightseeing trip to Mali Lošinj by our hotel bus is another great way to spend a family-packed day","expansive terraces overlooking Čikat Bay luxurious interiors feature designer furniture, Murano glass and marble private wellness with gym and saunas outdoor swimming pool, jacuzzi and sunbathing area private home cinema and library gated with 24-hour security video surveillance 24-hour chef and an International Butler Academy certified butler service on request",[Captain's Villa Rouge](/en/hotels-and-villas/villa-rouge/) [Villa Hygeia](/en/hotels-and-villas/villa-hygeia/) [Villa Sea Princess Nika](/en/hotels-and-villas/villa-nika/) Classic Collection [Hotel Aurora](/en/hotels-and-villas/hotel-aurora/) [Family Hotel Vespera](/en/hotels-and-villas/hotel-vespera/) [Vitality Hotel Punta](/en/hotels-and-villas/hotel-punta/),"One of the secrets to the islander's longevity is the critical nap following lunch, after which you can enjoy the hotel's exterior or interior pools or the hotel beach to surrender your body to the healing effects of the sea"
Which hotels have swimming pools?,rerank-v4.0-pro,Family Room Park Side Standard Sea Side Junior Suite Sea Side Pinos corner Vespera Kids Vespera playground Vespera playground Vespera playground Vespera playground Vespera playground Vespera playground Vespera Fitness Vespera Fitness Vespera Pool Vespera Pool Vespera Pool Vespera Pool Beach Vespera Beach Vespera Beach Borik [Gallery](/en/hotels-and-villas/hotel-vespera/#gallery),[Family](/en/hotels-and-villas/hotel-vespera/family/) Show Submenu [Pino Club](/en/hotels-and-villas/hotel-vespera/family/pino-club/)[Beach & Pools](/en/hotels-and-villas/hotel-vespera/family/beach-and-pools/)[Family amenities & Sport](/en/hotels-and-villas/hotel-vespera/family/family-amenities-and-sport/) [View all](/en/hotels-and-villas/hotel-vespera/family/),[Captain's Villa Rouge](/en/hotels-and-villas/villa-rouge/) [Villa Hygeia](/en/hotels-and-villas/villa-hygeia/) [Villa Sea Princess Nika](/en/hotels-and-villas/villa-nika/) Classic Collection [Hotel Aurora](/en/hotels-and-villas/hotel-aurora/) [Family Hotel Vespera](/en/hotels-and-villas/hotel-vespera/) [Vitality Hotel Punta](/en/hotels-and-villas/hotel-punta/),". You can choose to savour your meals in the air-conditioned dining hall or take a seat on the large terrace with captivating views of the bay.Alongside the hotel, you’ll find a fitness centre and Family Aqua Fun pool complex - the perfect place for your children to revel in laughter from sunrise to sunset.",[Hotels & Villas](/en/hotels-and-villas/) Show Submenu Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/) [Boutique Hotel Alhambra](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/) Ultra Luxury Collection [Villa Hortensia](/en/hotels-and-villas/villa-hortensia/) [Villa Mirasol](/en/hotels-and-villas/villa-mirasol/)
What pet-friendly accommodation options are there?,rerank-english-v3.0,More information Less information [](https://www.losinj-hotels.com/en/pet-friendly-hotels/) Offers [New Year at Aurora Learn more](/en/hotels-and-villas/hotel-aurora/offers/new-year/) [Balance Retreat: Wellness & Culture Learn more](/en/hotels-and-villas/hotel-aurora/offers/package/) [Early Booking Learn more](/en/hotels-and-villas/hotel-aurora/offers/early-booking/),.losinj-hotels.com/blog/)[News](/en/news/)[LH&V Career](https://jadranka.hr/en/tl/careers)[FAQ](/en/faq/)[Pet policy](/en/pet-friendly-hotels/)
What pet-friendly accommodation options are there?,rerank-multilingual-v3.0,More information Less information [](https://www.losinj-hotels.com/en/pet-friendly-hotels/) Offers [New Year at Aurora Learn more](/en/hotels-and-villas/hotel-aurora/offers/new-year/) [Balance Retreat: Wellness & Culture Learn more](/en/hotels-and-villas/hotel-aurora/offers/package/) [Early Booking Learn more](/en/hotels-and-villas/hotel-aurora/offers/early-booking/),.losinj-hotels.com/blog/)[News](/en/news/)[LH&V Career](https://jadranka.hr/en/tl/careers)[FAQ](/en/faq/)[Pet policy](/en/pet-friendly-hotels/)
What pet-friendly accommodation options are there?,rerank-v3.5,More information Less information [](https://www.losinj-hotels.com/en/pet-friendly-hotels/) Offers [New Year at Aurora Learn more](/en/hotels-and-villas/hotel-aurora/offers/new-year/) [Balance Retreat: Wellness & Culture Learn more](/en/hotels-and-villas/hotel-aurora/offers/package/) [Early Booking Learn more](/en/hotels-and-villas/hotel-aurora/offers/early-booking/),.losinj-hotels.com/blog/)[News](/en/news/)[LH&V Career](https://jadranka.hr/en/tl/careers)[FAQ](/en/faq/)[Pet policy](/en/pet-friendly-hotels/)
What pet-friendly accommodation options are there?,rerank-v4.0-pro,More information Less information [](https://www.losinj-hotels.com/en/pet-friendly-hotels/) Offers [New Year at Aurora Learn more](/en/hotels-and-villas/hotel-aurora/offers/new-year/) [Balance Retreat: Wellness & Culture Learn more](/en/hotels-and-villas/hotel-aurora/offers/package/) [Early Booking Learn more](/en/hotels-and-villas/hotel-aurora/offers/early-booking/),.losinj-hotels.com/blog/)[News](/en/news/)[LH&V Career](https://jadranka.hr/en/tl/careers)[FAQ](/en/faq/)[Pet policy](/en/pet-friendly-hotels/)
Are there hotels with free WiFi?,rerank-english-v3.0,More information Less information [](https://iprefer.com/members/signup?enrollcode=LSZHB&hotel=LSZHB) [](https://www.preferredhotels.com/iprefer/enroll?enrollcode=LSZHB&hotel=LSZHB) [](https://www.losinj-hotels.com/en/dining/michelin-tour/) [](https://www.losinj-hotels.com/en/news/losinj-hotels-and-villas-celebrates-double-win-at-2025-world-spa-awards/),[aurora@losinj-hotels.com](mailto:aurora@losinj-hotels.com) [facebook](https://www.facebook.com/hotel.aurora.losinj/)[twitter](https://twitter.com/LosinjHotels)[instagram](https://www.instagram.com/losinjhotels/)[youtube](https://www.youtube.com/user/losinjhotels) [](/),[Send enquiry](/en/hotels-and-villas/villa-hygeia/send-enquiry/) [facebook](https://www.facebook.com/losinj.hotels)[instagram](https://www.instagram.com/losinjhotels/)[youtube](https://www.youtube.com/user/losinjhotels) [](/),"5 comfortable suites out of which 2 beautifully appointed kids' rooms, accommodating up to 10 guests expansive landscaped garden and outdoor living space spacious terraces with spectacular sea views private home cinema and wine cellar gated with 24-hour security video surveillance 24-hour chef and an International Butler Academy certified butler service on request",[alhambra@losinj-hotels.com](mailto:alhambra@losinj-hotels.com) [facebook](https://www.facebook.com/hotel.alhambra.losinj/)[twitter](https://twitter.com/LosinjHotels)[instagram](https://www.instagram.com/boutiquehotelalhambra/)[youtube](https://www.youtube.com/user/losinjhotels) [](/)
